model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Thời gian ra mắt,Dung tích tổng,Điện năng tiêu thụ,Công nghệ tiết kiệm điện,Tiện ích,Chất liệu động cơ,Số cửa,Cao,Ngang,Sâu,Khối lượng máy,Độ ồn,Loại Gas,Loại sản phẩm,Chất liệu mặt,Công nghệ,Chất liệu ruột,Dung tích ngăn đông mềm,Thương hiệu của,Số ngăn,Nhiệt độ ngăn đông (độ C),giá gốc,giá khuyến mãi,khuyến mãi quà
164602,3050894000062,277369,40,189,Alaska,Trung Quốc,2018,143 lít,,Không có,Cửa kính | Chân tủ có thể điều chỉnh độ cao,Nhôm,1 cửa,49,46,43,16,Hãng không công bố,R600a,Tủ mát,Kính 2 lớp,Làm lạnh trực tiếp,Nhựa HIPS kháng khuẩn,Không,Việt Nam,1 ngăn mát,Không,,,
164601,3050893000233,277368,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Không có,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe,Đồng,2 cửa,85,116,67,43,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,"1 ngăn đông, 1 ngăn mát",≤ -18ºC,,,
164600,3050894000061,277367,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Inverter,Cửa kính | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện | Đèn LED,Đồng,2 cửa,197,112,61,113,Hãng không công bố,R290,Tủ mát,Kính 2 lớp,Đối lưu cưỡng bức,Nhôm,Không,Việt Nam,1 ngăn mát,Không,,,
164599,3050894000058,277366,40,189,Alaska,Trung Quốc,2020,Hãng không công bố,,Inverter,Cửa kính | Khoá cửa tủ | Inverter tiết kiệm điện | Đèn LED,Nhôm,1 cửa,177,58,63,61,Hãng không công bố,R600a,Tủ mát,Kính 2 lớp,Làm lạnh quạt,Nhựa ABS,Không,Việt Nam,1 ngăn mát,Không,,,
164598,3050894000057,277365,40,189,Alaska,Trung Quốc,2021,Hãng không công bố,,Không có,Cửa kính | Khoá cửa tủ | Đèn LED,Nhôm,1 cửa,167,53,55,51,Hãng không công bố,R600a,Tủ mát,Kính 2 lớp,Làm lạnh quạt,Nhựa ABS,Không,Việt Nam,1 ngăn mát,Không,,,
164597,3050893000232,277364,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Inverter,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện,Đồng,2 cửa,86,135,78,63,Hãng không công bố,R290,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn đông,≤ -18ºC,,,
164596,3050893000231,277363,40,189,Alaska,Trung Quốc,2020,Hãng không công bố,,Inverter,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện,Đồng,1 cửa,85,116,64,43,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn đông,≤ -18ºC,,,
164595,3050893000230,277362,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Không có,Nút điều chỉnh nhiệt độ bên ngoài tủ,Nhôm,1 cửa,85,55,57,31,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn đông,≤ -18ºC,,,
164594,3050893000229,277361,40,189,Alaska,Trung Quốc,2018,Hãng không công bố,,Không có,Nút điều chỉnh nhiệt độ bên ngoài tủ,Nhôm,1 cửa,143,55,54,43,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn đông,≤ -18ºC,,,
164593,3050893000228,277360,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Inverter,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện,Đồng,2 cửa,85,116,68,42,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,"1 ngăn đông, 1 ngăn mát",≤ -18ºC,,,
164592,3050893000227,277359,40,189,Alaska,Trung Quốc,2022,Hãng không công bố,,Inverter,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện,Đồng,2 cửa,84,109,62,38,Hãng không công bố,R600a,Tủ đông,Không,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,"1 ngăn đông, 1 ngăn mát",≤ -18ºC,,,
